compound	subset	sentence_type	expected_item	sequence_caption1	sequence_caption2	image1_name	image1_caption	image2_name	image2_caption	image3_name	image3_caption	image4_name	image4_caption
cold turkey	Sample	idiomatic	00954307870.png	The image shows an animated character, an older man with a beard, wearing glasses and a plaid shirt. He appears to be sitting alone at a table, with a glass of what looks like beer in front of him. The background is minimalistic, with a few splatters that could be paint or some other substance. The overall mood of the image is contemplative or possibly melancholic. 	The image shows an illustration of a man lying down with his head resting on a pillow. He has a beard and mustache, and he's wearing glasses. He's dressed in a plaid shirt, and his expression appears to be one of relaxation or perhaps a bit of sadness. The background is plain and does not provide any additional context. 	00954307870.png	The image shows a stylized illustration of a man sitting at a table. He has a beard and mustache, and is wearing glasses and a plaid shirt. The man appears to be smiling and is holding a glass of water. The background is minimal, with a simple white wall, suggesting a focus on the character. The style of the illustration is cartoonish and appears to be designed for a friendly and approachable look. 	06442270659.png	The image shows an animated character, a man with a beard and glasses, walking out of a refrigerator. He is holding a cardboard box in his left hand. The refrigerator is stocked with various bottles, suggesting it might be a store or a well-stocked personal fridge. The man appears to be in a good mood, as indicated by his smile. 	20134851583.png	The image shows an animated scene featuring a turkey standing in front of a stone fireplace with a fire burning inside. The fireplace is topped with a chimney and has a rustic, cozy appearance. There are also autumn leaves scattered around the base of the fireplace, and a pumpkin with a carved face is placed to the right. The overall setting suggests a festive autumn or winter scene, possibly related to Thanksgiving or Halloween, given the presence of the pumpkin. 	92708096174.png	The image shows an illustration of a man lying in a hospital bed. He has a bandage on his head, suggesting he may have had a medical procedure or an injury. The man is wearing glasses and a plaid shirt, and he appears to be in a state of discomfort or concern, as indicated by his facial expression. The hospital bed has a pillow and a railing, which are typical features of a hospital bed. 
seal of approval	Train	literal	27296070430.png	The image shows a cartoon depiction of a seal sitting on a block of ice. The seal has a brown and white fur pattern, which is typical for some seal species, and it appears to be floating on the ice. The background is a plain, light color, which suggests a simplistic or stylized representation rather than a realistic one. 	The image shows an animated scene with a seal leaping out of the water towards a person standing on rocks. The seal appears to be in mid-air, with its body stretched out, and the person is reaching out towards the seal, possibly in an attempt to interact with it. The background features a rocky shoreline with a body of water, and there are some plants growing on the rocks. The overall scene suggests a playful or educational interaction between humans and marine life. 	27296070430.png	The image shows a stylized, cartoon-like depiction of a seal. It has a simplified, smooth appearance with exaggerated features such as large eyes and a friendly expression. The seal is shown with its flippers raised, giving a thumbs-up gesture. 	43574785182.png	The image shows an animated character, a young boy, sitting at a table outdoors. He is wearing an orange jacket and appears to be enjoying a meal from a bowl. The setting includes a tree, a chair, and some greenery, suggesting a peaceful and natural environment. The boy is smiling and seems to be in a good mood while eating. 	76425862018.png	The image shows a 3D rendering of a female character who appears to be a scientist or a professional in a field that requires a lab coat. She is wearing glasses, a white lab coat, and white gloves. The character is holding a tablet with a certificate or award on it, which includes a trophy and some text that is not fully legible. The overall impression is that of a professional achievement or recognition. 	99205070373.png	The image shows an illustration of an elephant standing on a ball. The elephant is depicted with a playful expression, and it appears to be balancing on the ball with its trunk raised in the air. The ball has a striped pattern, and the elephant is wearing a pair of shoes with flames on them. The background is plain white, which highlights the subject of the illustration. 
best man	Train	idiomatic	31910476019.png	The image shows an illustration of a man and a woman in a close embrace. The man has a beard and is holding a rose, while the woman is wearing a dress and has her hair styled. They appear to be in a romantic or affectionate moment, possibly sharing a kiss. The background is plain white, which puts the focus on the characters. 	The image shows two animated characters, likely from a cartoon or animated series, embracing each other. They appear to be male, with one character having a beard and the other with short hair. They are smiling and seem to be in a happy or affectionate moment. The background is a simple, textured white, which suggests that the focus is on the characters and their interaction. 	12023307891.png	The image shows an animated character, a young man, who appears to be a skateboarder. He is standing on a ramp with his arms raised in a celebratory or triumphant pose, holding a gold medal. The background suggests an urban setting with skyscrapers, and there are clouds in the sky. The overall impression is that the character has won a skateboarding competition or achieved a significant accomplishment in the sport. 	19622842574.png	The image shows three animated characters in a boat on a body of water. They are dressed in life jackets, suggesting they are engaging in water-based activities such as boating or canoeing. The characters appear to be enjoying themselves, with smiles on their faces. The man on the left is wearing a suit with an orange life jacket, the man in the middle is wearing a suit with a black life jacket, and the woman on the right is wearing a white dress with an orange life jacket. They are holding a paddle, indicating they are actively rowing the boat. The background is a simple, light blue, which could represent a calm lake or sea. 	29362701513.png	The image shows two animated characters sitting at a table, engaged in what appears to be a conversation. They are both holding drinks, possibly beers, and there are cups and a bottle on the table. The setting suggests a casual, social environment, possibly a bar or a cafe. The characters are depicted with a friendly and relaxed demeanor, indicating a positive interaction between them. 	31910476019.png	The image shows an illustration of a bride and groom at what appears to be a wedding ceremony. The bride is wearing a white wedding dress and a veil, while the groom is dressed in a suit with a bow tie and a boutonniere. They are holding a small box, which could be a wedding ring box, and are smiling at each other. The couple is standing in front of a simple backdrop, and the overall scene conveys a joyful and celebratory moment. 
new blood	Sample	idiomatic	76255509402.png	The image depicts three animated characters sitting in front of a large screen displaying a line graph with red and orange bars. The characters appear to be business professionals, as indicated by their attire and the setting, which includes a desk with a computer monitor and a document. The overall scene suggests a meeting or presentation where the characters are analyzing or discussing the data presented on the screen. 	The image shows an animated character, a woman with curly hair, standing behind a desk. She is dressed in a white blouse and black pants, and she is holding a tablet with a graph on it. The character appears to be in a professional setting, possibly an office, and she is gesturing with her hands, which suggests she might be presenting or explaining something related to the graph on the tablet. The overall impression is that of a confident and professional individual. 	49494100963.png	The image shows an illustration of a man sitting in a hospital bed. He is wearing a cap with an orange cross, which is commonly associated with medical or healthcare settings. The man appears to be in a relaxed or resting position, with a pillow behind him and his arms resting on the bed's railing. There is a medical device, possibly an IV drip, attached to his arm, suggesting that he may be receiving medical treatment or monitoring. The overall setting suggests a hospital environment. 	60841620898.png	The image shows a stylized illustration of a modern conference room. There is a large rectangular table at the center with several chairs around it, suggesting a space for meetings or presentations. On the table, there are a few items such as a cup, a notepad, and a pen, which are commonly used in a professional setting. The room has a contemporary design with a combination of black and orange walls, and there are potted plants adding a touch of greenery to the space. The ceiling has circular lights, and the overall atmosphere appears to be professional and well-lit. 	76255509402.png	The image shows a cartoon illustration of four animated characters sitting around a conference table. They appear to be engaged in a business meeting or presentation. The table has a large screen displaying various graphs and charts, which suggests that the meeting is related to financial data or performance metrics. The characters are dressed in business attire, and one of them is holding a cup, possibly indicating a casual or relaxed atmosphere despite the formal setting. The overall scene is a stylized representation of a corporate or business environment. 	83542179928.png	The image shows an animated character, a woman with curly hair, running. She is wearing a white tank top, black leggings, and orange sneakers. The character is holding a drink in her hand and appears to be enjoying a run outdoors, as indicated by the trees and grass in the background. 
ancient history	Sample	idiomatic	26774440560.png	The image shows two animated characters sitting in chairs facing each other. They appear to be engaged in a conversation or discussion. The character on the left has dark hair, is wearing a white top, and has a slight smile. The character on the right has short hair, is wearing an orange top, and also has a slight smile. They both seem to be in a relaxed and friendly posture, suggesting a casual or informal interaction. 	The image shows an animated illustration of an elderly woman sitting in a chair. She is wearing glasses and has a contemplative expression on her face. There is a speech bubble above her head with a stylized face inside it, suggesting that she is thinking or speaking to someone. The speech bubble has a star shape, which is often used to indicate a thought or a wish. The overall style of the image is cartoonish and friendly. 	15290469775.png	The image shows two animated characters, a woman and a girl, standing at a table with a tray of cookies. The woman is wearing a red top and is holding a cookie, while the girl is wearing a black top and is also holding a cookie. They appear to be in the process of exchanging or sharing the cookies. There are various kitchen utensils and items on the table, such as a bowl, a cup, and a spoon, suggesting that they might be in a kitchen or a bakery setting. 	16395773758.png	The image shows an illustration of a woman lying on a bed. She is wearing a red top and black pants, and she is holding a smartphone in her hands. The woman has a bun hairstyle and is looking at the phone screen. The background is plain and white, which puts the focus on the woman and her activity. 	26774440560.png	The image shows two animated characters sitting in chairs facing each other. The character on the left is wearing a red top and has dark hair, while the character on the right has gray hair and is wearing an orange top with a white collar. Both characters appear to be engaged in a conversation or interaction, as suggested by their body language and the presence of a smartphone in the character's hand on the left. The setting is minimalistic, with a plain background that focuses attention on the characters. 	72610490154.png	The image shows a person taking a photograph of an ancient-looking stone structure. The structure appears to be a large stone with hieroglyphics or inscriptions on it, which could suggest it is a historical or archaeological site. The person is kneeling down to get a better angle for the photograph, and they are wearing a hard hat, which is often worn in construction or archaeological sites for safety. The surrounding area is littered with broken stone pieces, indicating that the site may be in a state of disrepair or that some work has been done on it. 
agony aunt	Sample	literal	05994780756.png	The image shows an animated scene of a man, a woman, and a child in what appears to be a hallway or corridor. The man is holding a suitcase and is looking down at the child, who is holding the man's hand. The woman is standing next to the child, looking at the man with a slight smile. They all seem to be in a good mood, possibly preparing for a trip or just arriving at their destination. The setting suggests a public or institutional building, given the presence of a door and the style of the hallway. 	The image shows an illustration of three animated characters in a professional setting. On the left, there is a man sitting in a chair, looking surprised or concerned. In the middle, there is a man standing, wearing glasses and a white lab coat, which suggests he might be a doctor or a scientist. He appears to be speaking or explaining something to the other two characters. On the right, there is a woman sitting in a chair, looking attentive and engaged in the conversation. She is wearing a red top and black pants. The overall setting seems to be a casual office or meeting room. 	05994780756.png	The image shows an animated character of an older woman with gray hair, wearing glasses and a brown shirt. She appears to be in a state of surprise or shock, as indicated by her wide-open eyes and the expression on her face. The background suggests she is in a bedroom, with a pillow and a headboard visible. 	12065767986.png	The image shows an animated scene of a family standing outside a building. There is a woman with red hair, a young boy with brown hair, and a man with brown hair. The man is holding a briefcase and appears to be smiling. They are standing in front of a fence, and the building behind them has a modern architectural style. The setting suggests a casual, everyday moment, possibly a family outing or a father taking his children to work. 	38606936240.png	The image shows an illustration of an older woman with gray hair, wearing glasses, and a pearl earring. She is smiling and has a contented expression. She is holding a gray and white cat in her arms, and the cat appears to be sleeping or resting. The woman and the cat are depicted in a warm, cozy setting, possibly a home environment. 	38715649409.png	The image shows an illustration of a woman sitting and reading a book. She has dark hair and is wearing a sleeveless top. The background has a textured appearance, possibly suggesting a casual or relaxed setting. The woman appears to be engaged in her reading, with a focused expression on her face. 
open goal	Train	idiomatic	09897407571.png	The image shows an illustration of a man and a woman sitting at a chess table, engaged in a game of chess. The man is on the left side of the table, and the woman is on the right. They are both focused on the game, with the man holding his chin, a common gesture of deep thought or concentration. The chess pieces are set up on the board, indicating that the game is in progress. The setting appears to be a casual, indoor environment, possibly a living room or a recreational area. 	The image shows a hand placing a chess piece on a chessboard. The chessboard is set up with the standard starting position for a game of chess. The hand is holding a black chess piece, which appears to be a knight, and is about to move it to a square on the board. The chessboard has alternating light and dark squares, and there are chess pieces of all colors on it, indicating that a game is either in progress or about to start. 	09897407571.png	The image shows an illustration of a man and a woman sitting across from each other at a chessboard. They are shaking hands over the chessboard, which is set up for a game. The man is on the left side of the chessboard, and the woman is on the right. They are both dressed in business attire, suggesting a formal or professional setting. The illustration is stylized and appears to be a digital artwork. 	54764434718.png	The image shows an illustration of a man and a woman sitting at a table, engaged in what appears to be a meal or a conversation. The man is on the left side of the table, and the woman is on the right. They are both dressed in formal attire, with the man wearing a white shirt and black pants, and the woman in a black dress. The table is set with a red tablecloth, and there are wine glasses, a bottle, and what looks like a teapot, suggesting they might be having a formal dinner or a meeting. The setting is simple and elegant, with a focus on the interaction between the two characters. 	68711444093.png	The image shows an illustration of a man and a woman sitting at a desk, watching a soccer game on a computer monitor. The man is on the left, and the woman is on the right. They are both seated in chairs, and there are some items on the desk, such as a cup and a soccer ball. The setting appears to be a casual, indoor environment, possibly a living room or a home office. 	77812565993.png	The image shows a soccer ball hanging in the air in front of a soccer goal net. The ball is positioned in the center of the goal, suggesting it has been kicked and is now suspended in mid-air. The background is a blurred outdoor setting, likely a soccer field, with trees and a grassy area visible. 
white whale	Train	literal	07076874098.png	The image shows a group of people standing on a pier or dock, looking out towards the water. They appear to be photographers, as they are holding cameras and seem to be capturing the view or waiting for something interesting to happen. The setting suggests a calm, possibly coastal, environment, and the people are dressed in casual clothing suitable for outdoor activities. 	The image depicts a whimsical scene where a group of people are standing on a pier, taking photographs of a large, white whale that is leaping out of the water. The whale is stylized with a simplistic design, and the people are illustrated in a cartoon-like manner. The setting appears to be a sunny day with clear skies, and the water is calm. The overall atmosphere of the image is playful and imaginative. 	07076874098.png	The image shows a group of four animated characters standing on a pier or dock. They appear to be celebrating or cheering, with their arms raised in the air. The background is a simple, flat depiction of water, suggesting that the pier is located near a body of water. The characters are stylized with a limited color palette, and the overall scene is cartoonish and cheerful. 	19856541731.png	The image depicts a group of people standing on a pier or dock, looking out at a large sailing ship on the water. The ship appears to be a traditional sailing vessel, possibly a clipper ship, given its design and the sails fully unfurled. The people are equipped with cameras, suggesting they might be photographers or tourists capturing the scene. The setting is serene, with a clear sky and calm water, which adds to the picturesque nature of the scene. 	30389635955.png	The image depicts a whimsical scene with a clown standing on a stage or platform. The clown is holding a large balloon and appears to be performing or entertaining. In the background, there are several people, some of whom are holding cameras, suggesting they might be capturing the clown's performance. The overall atmosphere of the image is playful and festive. 	98592494872.png	The image shows a stylized illustration of a man standing next to a futuristic-looking car. The car has a sleek design with a prominent front and a streamlined body, suggesting it might be an electric or concept vehicle. The man is dressed in a casual shirt and pants, and he appears to be smiling, giving the impression of confidence or pride in the vehicle. The background is plain and white, which puts the focus on the man and the car. 
bad apple	Sample	idiomatic	41016103905.png	The image shows a classroom scene with five animated characters, likely children, sitting at desks. They appear to be engaged in a classroom activity, possibly a lesson or a group discussion. The classroom has a whiteboard with various colored sticky notes on it, suggesting that the students are using it for brainstorming or organizing their thoughts. There's a clock on the wall, a book on one of the desks, and a small stuffed animal on the floor. The overall atmosphere is one of a typical classroom setting. 	The image shows an animated character, a young boy with red hair, sitting at a desk with a laptop. He is holding a kite with a star design in his hand, and the kite appears to be flying away from him. The background includes a cloud and a sun, suggesting an outdoor setting. The boy is smiling and seems to be enjoying the moment. 	09109572696.png	The image shows a group of animated characters, likely children, standing in front of a television screen that displays various cartoon animals. The characters are smiling and appear to be enjoying the show. The animals on the screen include a dinosaur, a crocodile, a fish, and a bird, suggesting that the show might be educational or entertaining, possibly teaching children about different animals. The characters are dressed in casual clothing, and the setting seems to be a living room or a similar indoor space. 	19634489503.png	The image shows an animated character, a young man with brown hair, standing next to a trash can. The trash can is overflowing with what appears to be broken pieces of a red apple, suggesting that the apple has been smashed or shattered. The character is holding his hand out as if he is about to catch or pick up one of the apple pieces. The scene is stylized and cartoonish, with exaggerated features and a limited color palette. 	39830945702.png	The image shows a cartoon illustration of a young girl with red hair, wearing a white sweater with a red bow and a plaid skirt. She is sitting at a small desk and appears to be reading a book. In front of her is a wooden desk with a chair, and on the desk is a red apple with a green leaf. The girl is smiling and seems to be enjoying her time reading. The background is plain white, which puts the focus on the girl and her activity. 	41016103905.png	The image shows a group of animated characters that appear to be in a state of distress or chaos. They are depicted with exaggerated expressions and body language, suggesting a scene of panic or fear. The characters are styled in a cartoonish manner, with a limited color palette that gives the image a somewhat muted and gritty look. The background has splatter effects that add to the sense of disarray. The characters are not clearly identifiable, but they seem to be in a room with a desk and a chair, which might suggest a home or office setting. 
guinea pig	Sample	literal	47107607630.png	The image shows a stylized, animated depiction of a capybara. It's a cute, anthropomorphic representation of the animal, with exaggerated features such as large eyes and a fluffy coat. The capybara is standing on its hind legs, which is a common pose for animated characters to give them a more human-like appearance. The background suggests a store or retail environment, with shelves displaying various items. 	The image shows a stylized, cartoon-like depiction of a guinea pig sitting on a human hand. The guinea pig has a combination of brown and white fur, with a prominent white stripe on its face. The hand appears to be that of a human, with a pinky finger visible. The background is plain and white, which highlights the subject of the image. 	39992220482.png	The image shows a stylized illustration of a cat lying down on grass. The cat has a mix of black, orange, and white fur, and it appears to be sleeping or resting with its eyes closed. The background is a plain white, which highlights the subject of the image. 	42901163423.png	The image shows a stylized, cartoon-like illustration of a man with a beard and mustache. He has glasses and a blue color on his face, which could be interpreted as a mask or a stylized feature. He is wearing a plaid shirt and has a somewhat surprised or contemplative expression. The artwork has a playful and artistic quality to it. 	47107607630.png	The image shows a stylized, animated depiction of a capybara. It's a cute, cartoon-like representation of the animal, with exaggerated features such as large eyes and a fluffy coat. The capybara is standing in a field of green grass, and there's a blurred background that suggests a peaceful, natural setting. 	81049002990.png	The image shows a stylized illustration of a pig lying down in a grassy field. The pig has a combination of black and orange fur, and it appears to be resting or sleeping. The background is a plain white, which highlights the pig and the grass. 
